"Title","Authors","Editors","YearPublished","URL","DateAdded","Access type","Pub ID"
"A History of the County of Worcester: Volume 2","","Willis-Bund, J W;Page, William","1971","https://www.british-history.ac.uk/vch/worcs/vol2","2005-05-15T23:00:00","Free content","205"
"A History of the County of Worcester: Volume 3","","","1913","https://www.british-history.ac.uk/vch/worcs/vol3","2006-04-09T23:00:00","Free content","301"
"A History of the County of Worcester: Volume 4","","Page, William;Willis-Bund, J W","1924","https://www.british-history.ac.uk/vch/worcs/vol4","2006-05-18T23:00:00","Free content","302"
"A History of the County of York East Riding: Volume 1, the City of Kingston Upon Hull","","Allison, K J","1969","https://www.british-history.ac.uk/vch/yorks/east/vol1","2008-02-01T00:00:00","Free content","549"
"A History of the County of York East Riding: Volume 3, Ouse and Derwent Wapentake, and Part of Harthill Wapentake","Baggs, A P;Kent, G H R;Purdy, J D","Allison, K J","1976","https://www.british-history.ac.uk/vch/yorks/east/vol3","2004-09-05T23:00:00","Free content","106"
"A History of the County of York East Riding: Volume 6, the Borough and Liberties of Beverley","Baggs, A P;Brown, L M;Forster, G C F;Hall, I;Horrox, R E;Kent, G H R;Neave, D","Allison, K J","1989","https://www.british-history.ac.uk/vch/yorks/east/vol6","2005-02-11T00:00:00","Free content","189"
"A History of the County of York East Riding: Volume 7, Holderness Wapentake, Middle and North Divisions","Allison, K J;Baggs, A P;Cooper, T N;Davidson-Cragoe, C;Walker, J","Kent, G H R","2002","https://www.british-history.ac.uk/vch/yorks/east/vol7","2004-05-31T23:00:00","Free content","54"
"A History of the County of York North Riding: Volume 1","","Page, William","1914","https://www.british-history.ac.uk/vch/yorks/north/vol1","2007-09-06T23:00:00","Free content","532"
"A History of the County of York North Riding: Volume 2","","Page, William","1923","https://www.british-history.ac.uk/vch/yorks/north/vol2","2007-09-27T23:00:00","Free content","533"
"A History of the County of York: the City of York","","Tillott, P M","1961","https://www.british-history.ac.uk/vch/yorks/city-of-york","2005-02-10T00:00:00","Free content","183"
"A History of the County of York: Volume 3","","Page, William","1974","https://www.british-history.ac.uk/vch/yorks/vol3","2005-05-15T23:00:00","Free content","204"
"A New History of London Including Westminster and Southwark","Noorthouck, John","","1773","https://www.british-history.ac.uk/no-series/new-history-london","2006-06-27T23:00:00","Free content","332"
"A Survey of Documentary Sources for Property Holding in London before the Great Fire","","Keene, Derek;Harding, Vanessa","1985","https://www.british-history.ac.uk/london-record-soc/vol22","2007-08-12T00:00:00","Free content","582"
"A Survey of London. Reprinted From the Text of 1603","Stow, John","Kingsford, C L","1908","https://www.british-history.ac.uk/no-series/survey-of-london-stow/1603","2008-03-28T00:00:00","Free content","593"
"A Topographical Dictionary of England","","Lewis, Samuel","1848","https://www.british-history.ac.uk/topographical-dict/england","2006-11-14T00:00:00","Free content","445"
"A Topographical Dictionary of Scotland","Lewis, Samuel","","1846","https://www.british-history.ac.uk/topographical-dict/scotland","2006-04-20T00:00:00","Free content","308"
"A Topographical Dictionary of Wales","Lewis, Samuel","","1849","https://www.british-history.ac.uk/topographical-dict/wales","2006-07-26T00:00:00","Free content","371"
"Abstracts of Inquisitiones Post Mortem For the City of London: Part 1","","Fry, G S","1896","https://www.british-history.ac.uk/inquis-post-mortem/abstract/no1","2008-02-15T00:00:00","Free content","574"
"Abstracts of Inquisitiones Post Mortem For the City of London: Part 3","","Fry, E A","1908","https://www.british-history.ac.uk/inquis-post-mortem/abstract/no3","2008-02-15T00:00:00","Free content","576"
"Acts and Ordinances of the Interregnum, 1642-1660","","Firth, C H;Rait, R S","1911","https://www.british-history.ac.uk/no-series/acts-ordinances-interregnum","2007-03-23T00:00:00","Free content","606"
